# Telemetry Channel Definition
# Generated: 2026-06-05 | Version: 1
#
# index   : float32 array index in SPI frame (0-based, must be contiguous, no gaps)
# name    : unique identifier, alphanumeric + underscore, max 32 chars
# unit    : display unit string (e.g. rpm, m/s, °C, V, A, %)
# scale   : multiplier applied to raw float before display  (display = raw * scale + offset)
# offset  : additive offset applied after scale
# min/max : expected range for UI scaling (NOT clamped)
# group   : display group / tab name in frontend
# color   : hex color for plot line (#RRGGBB)
# precision: decimal places in display
# enabled : true/false — disabled channels are received but not displayed

index,name,unit,scale,offset,min,max,group,color,precision,enabled
0,motor_fl_rpm,rpm,1.0,0.0,-3000,3000,Motors,#E74C3C,0,true
1,motor_fr_rpm,rpm,1.0,0.0,-3000,3000,Motors,#E74C3C,0,true
2,motor_rl_rpm,rpm,1.0,0.0,-3000,3000,Motors,#C0392B,0,true
3,motor_rr_rpm,rpm,1.0,0.0,-3000,3000,Motors,#C0392B,0,true
4,imu_accel_x,m/s²,1.0,0.0,-50,50,IMU,#3498DB,2,true
5,imu_accel_y,m/s²,1.0,0.0,-50,50,IMU,#2980B9,2,true
6,imu_accel_z,m/s²,1.0,0.0,-50,50,IMU,#1ABC9C,2,true
