# Robot Parameter Definition
# index,name,type,default,min,max,unit,group,description
0,pid_fl_kp,float32,1.200,0.0,100.0,,PID Motors,Proportional gain front-left motor
1,pid_fl_ki,float32,0.050,0.0,10.0,,PID Motors,Integral gain front-left motor
2,pid_fl_kd,float32,0.010,0.0,1.0,,PID Motors,Derivative gain front-left motor
3,pid_fr_kp,float32,1.200,0.0,100.0,,PID Motors,Proportional gain front-right motor
4,pid_fr_ki,float32,0.050,0.0,10.0,,PID Motors,Integral gain front-right motor
5,pid_fr_kd,float32,0.010,0.0,1.0,,PID Motors,Derivative gain front-right motor
100,max_speed,float32,2.500,0.0,5.0,m/s,Drive,Maximum robot speed
101,accel_limit,float32,5.0,0.0,20.0,m/s²,Drive,Acceleration limit
